s
Thu Jun 17 23:02:03 2021    tmp

         341526 function calls (333424 primitive calls) in 1.276 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      136    0.000    0.000    0.000    0.000 css_parser.py:360(__init__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:376(_freeze_relations)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:386(freeze)
        1    0.000    0.000    0.035    0.035 css_parser.py:420(CSSParser)
       14    0.000    0.000    0.000    0.000 css_parser.py:450(__init__)
       77    0.000    0.000    0.004    0.000 css_parser.py:458(parse_attribute_selector)
       69    0.000    0.000    0.001    0.000 css_parser.py:528(parse_tag_pattern)
    42/30    0.000    0.000    0.009    0.000 css_parser.py:565(parse_pseudo_class)
        1    0.000    0.000    0.000    0.000 css_parser.py:653(parse_pseudo_nth)
    38/29    0.000    0.000    0.009    0.000 css_parser.py:712(parse_pseudo_open)
       84    0.000    0.000    0.000    0.000 css_parser.py:767(parse_combinator)
    52/14    0.001    0.000    0.013    0.001 css_parser.py:862(parse_selectors)
        1    0.000    0.000    0.000    0.000 css_types.py:1(<module>)
        1    0.000    0.000    0.000    0.000 css_types.py:133(Namespaces)
        1    0.000    0.000    0.000    0.000 css_types.py:151(CustomSelectors)
        1    0.000    0.000    0.000    0.000 css_types.py:169(Selector)
      136    0.000    0.000    0.002    0.000 css_types.py:177(__init__)
